Timestamp,Event,Text,Prediction,Confidence,Note
2025-10-02 08:45:35,Inference,The dialogues were cringe-worthy.,positive,0.7572,
2025-10-02 08:45:35,FinalDecision,The dialogues were cringe-worthy.,positive,0.7572,end of pipeline
2025-10-02 08:45:35,Inference,"One of the worst films, complete waste of time.",negative,0.7827,
2025-10-02 08:45:35,FinalDecision,"One of the worst films, complete waste of time.",negative,0.7827,end of pipeline
2025-10-02 08:45:35,Inference,"A rollercoaster of emotions, highly recommended.",negative,0.9054,
2025-10-02 08:45:35,FinalDecision,"A rollercoaster of emotions, highly recommended.",negative,0.9054,end of pipeline
2025-10-02 08:45:35,Inference,"Mediocre at best, but had a few funny scenes.",negative,0.4068,
2025-10-02 08:45:35,ConfidenceCheck,"Mediocre at best, but had a few funny scenes.",negative,0.4068,LOW
2025-10-02 08:45:35,FallbackUser,"Mediocre at best, but had a few funny scenes.",positive,0.4068,User clarified
2025-10-02 08:45:35,FinalDecision,"Mediocre at best, but had a few funny scenes.",positive,0.4068,end of pipeline
2025-10-02 08:45:35,Inference,"An instant classic, will watch again!",positive,0.7176,
2025-10-02 08:45:35,FinalDecision,"An instant classic, will watch again!",positive,0.7176,end of pipeline
2025-10-02 08:45:35,Inference,"Terrible pacing, I almost fell asleep.",negative,0.4615,
2025-10-02 08:45:35,ConfidenceCheck,"Terrible pacing, I almost fell asleep.",negative,0.4615,LOW
2025-10-02 08:45:35,BackupModel,"Terrible pacing, I almost fell asleep.",negative,0.8803,backup accepted
2025-10-02 08:45:35,FinalDecision,"Terrible pacing, I almost fell asleep.",negative,0.8803,end of pipeline
2025-10-02 08:45:35,Inference,The script was weak but acting saved it.,negative,0.5911,
2025-10-02 08:45:35,ConfidenceCheck,The script was weak but acting saved it.,negative,0.5911,LOW
2025-10-02 08:45:35,BackupModel,The script was weak but acting saved it.,negative,0.8833,backup accepted
2025-10-02 08:45:35,FinalDecision,The script was weak but acting saved it.,negative,0.8833,end of pipeline
2025-10-02 08:45:35,Inference,The script was weak but acting saved it.,positive,0.9602,
2025-10-02 08:45:35,FinalDecision,The script was weak but acting saved it.,positive,0.9602,end of pipeline
2025-10-02 08:45:35,Inference,Predictable and dull storyline.,negative,0.6739,
2025-10-02 08:45:35,FinalDecision,Predictable and dull storyline.,negative,0.6739,end of pipeline
2025-10-02 08:45:35,Inference,"One of the worst films, complete waste of time.",positive,0.5322,
2025-10-02 08:45:35,ConfidenceCheck,"One of the worst films, complete waste of time.",positive,0.5322,LOW
2025-10-02 08:45:35,BackupModel,"One of the worst films, complete waste of time.",negative,0.8319,backup accepted
2025-10-02 08:45:35,FinalDecision,"One of the worst films, complete waste of time.",negative,0.8319,end of pipeline
2025-10-02 08:45:35,Inference,"One of the worst films, complete waste of time.",negative,0.7016,
2025-10-02 08:45:35,FinalDecision,"One of the worst films, complete waste of time.",negative,0.7016,end of pipeline
2025-10-02 08:45:35,Inference,Loved the soundtrack and visuals.,negative,0.7611,
2025-10-02 08:45:35,FinalDecision,Loved the soundtrack and visuals.,negative,0.7611,end of pipeline
2025-10-02 08:45:35,Inference,The dialogues were cringe-worthy.,negative,0.7874,
2025-10-02 08:45:35,FinalDecision,The dialogues were cringe-worthy.,negative,0.7874,end of pipeline
2025-10-02 08:45:35,Inference,Predictable and dull storyline.,negative,0.8837,
2025-10-02 08:45:35,FinalDecision,Predictable and dull storyline.,negative,0.8837,end of pipeline
2025-10-02 08:45:35,Inference,"One of the worst films, complete waste of time.",positive,0.7109,
2025-10-02 08:45:35,FinalDecision,"One of the worst films, complete waste of time.",positive,0.7109,end of pipeline
2025-10-02 08:45:35,Inference,"A rollercoaster of emotions, highly recommended.",positive,0.6815,
2025-10-02 08:45:35,FinalDecision,"A rollercoaster of emotions, highly recommended.",positive,0.6815,end of pipeline
2025-10-02 08:45:35,Inference,"An instant classic, will watch again!",negative,0.4182,
2025-10-02 08:45:35,ConfidenceCheck,"An instant classic, will watch again!",negative,0.4182,LOW
2025-10-02 08:45:35,BackupModel,"An instant classic, will watch again!",positive,0.7477,backup accepted
2025-10-02 08:45:35,FinalDecision,"An instant classic, will watch again!",positive,0.7477,end of pipeline
2025-10-02 08:45:35,Inference,"Mediocre at best, but had a few funny scenes.",negative,0.4222,
2025-10-02 08:45:35,ConfidenceCheck,"Mediocre at best, but had a few funny scenes.",negative,0.4222,LOW
2025-10-02 08:45:35,FallbackUser,"Mediocre at best, but had a few funny scenes.",positive,0.4222,User clarified
2025-10-02 08:45:35,FinalDecision,"Mediocre at best, but had a few funny scenes.",positive,0.4222,end of pipeline
2025-10-02 08:45:35,Inference,Loved the soundtrack and visuals.,positive,0.6998,
2025-10-02 08:45:35,FinalDecision,Loved the soundtrack and visuals.,positive,0.6998,end of pipeline
2025-10-02 08:45:35,Inference,Loved the soundtrack and visuals.,positive,0.9791,
2025-10-02 08:45:35,FinalDecision,Loved the soundtrack and visuals.,positive,0.9791,end of pipeline
